Q1,Q2,Q3,Q5
What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,Select the title most similar to your current role (or most recent title if retired): - Selected Choice
50-54,Man,India,Other
50-54,Man,Indonesia,Program/Project Manager
22-24,Man,Pakistan,Software Engineer
45-49,Man,Mexico,Research Scientist
45-49,Man,India,Other
25-29,Woman,India,Currently not employed
18-21,Woman,India,Student
30-34,Man,India,Data Scientist
22-24,Man,Russia,Currently not employed
30-34,Man,Turkey,Other
40-44,Man,Australia,Other
18-21,Woman,India,Student
18-21,Woman,India,Student
45-49,Man,Nigeria,Program/Project Manager
22-24,Man,Nigeria,Other
35-39,Man,Greece,Research Scientist
50-54,Man,Belgium,Data Analyst
18-21,Man,Pakistan,Data Scientist
22-24,Man,Japan,Software Engineer
30-34,Man,Egypt,Other
70+,Man,Singapore,Other
25-29,Woman,Turkey,Data Scientist
30-34,Man,Indonesia,Student
35-39,Man,Brazil,Machine Learning Engineer
18-21,Man,India,Student
25-29,Woman,Poland,Machine Learning Engineer
45-49,Man,Brazil,Research Scientist
22-24,Man,China,Student
22-24,Woman,"Iran, Islamic Republic of...",Data Scientist
18-21,Man,India,Student
22-24,Man,India,Other
30-34,Man,India,Data Scientist
22-24,Nonbinary,United States of America,Data Analyst
30-34,Woman,Egypt,Data Analyst
22-24,Man,India,Student
30-34,Woman,Brazil,Currently not employed
25-29,Woman,Egypt,Currently not employed
30-34,Man,Brazil,Student
22-24,Man,Japan,Software Engineer
18-21,Man,India,Student
25-29,Man,Brazil,Data Scientist
25-29,Man,Italy,Other
55-59,Man,United States of America,Software Engineer
30-34,Woman,Viet Nam,Machine Learning Engineer
18-21,Man,United States of America,Student
40-44,Man,Israel,Data Scientist
22-24,Man,China,Data Analyst
18-21,Woman,Egypt,Student
25-29,Man,India,Machine Learning Engineer
30-34,Woman,United States of America,Data Scientist
25-29,Man,Peru,Currently not employed
40-44,Man,United States of America,Research Scientist
40-44,Man,South Africa,Data Analyst
40-44,Man,Other,Business Analyst
30-34,Man,Spain,Currently not employed
22-24,Woman,Bangladesh,Software Engineer
30-34,Woman,Indonesia,Student
35-39,Woman,Russia,Data Scientist
18-21,Man,India,Machine Learning Engineer
35-39,Man,India,Program/Project Manager
18-21,Man,Japan,Student
18-21,Man,Russia,Machine Learning Engineer
30-34,Man,Japan,Data Scientist
18-21,Man,India,Student
18-21,Man,India,Student
40-44,Man,Russia,Data Engineer
30-34,Prefer not to say,China,Data Analyst
30-34,Man,Other,Business Analyst
35-39,Man,India,Other
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Other
25-29,Man,India,Currently not employed
22-24,Man,Mexico,Other
30-34,Woman,"Iran, Islamic Republic of...",Software Engineer
45-49,Man,Turkey,Program/Project Manager
22-24,Man,Brazil,Student
40-44,Man,France,Research Scientist
50-54,Man,United States of America,Data Engineer
22-24,Man,China,Business Analyst
25-29,Man,Switzerland,Student
22-24,Man,India,Currently not employed
35-39,Man,United States of America,Research Scientist
30-34,Man,Other,Software Engineer
30-34,Man,India,Business Analyst
18-21,Man,India,Student
25-29,Man,Algeria,Student
22-24,Man,Bangladesh,Student
25-29,Man,Tunisia,Data Scientist
25-29,Man,United States of America,Data Scientist
25-29,Woman,Italy,Student
55-59,Man,United States of America,Software Engineer
25-29,Woman,Argentina,Data Scientist
30-34,Man,United States of America,Business Analyst
22-24,Man,Sweden,Student
55-59,Man,United States of America,Other
18-21,Man,India,Data Scientist
30-34,Man,Colombia,Student
25-29,Man,India,Machine Learning Engineer
40-44,Man,Italy,Software Engineer
22-24,Man,India,Currently not employed
22-24,Man,India,Student
18-21,Woman,Singapore,Student
25-29,Man,India,Software Engineer
22-24,Man,India,Data Analyst
25-29,Man,I do not wish to disclose my location,Data Scientist
40-44,Woman,United States of America,Other
35-39,Man,France,Software Engineer
30-34,Man,India,Data Analyst
55-59,Man,United States of America,Data Scientist
40-44,Man,Israel,Data Analyst
22-24,Man,India,Data Analyst
18-21,Man,Nigeria,Student
22-24,Woman,Sweden,Student
45-49,Man,Poland,Other
30-34,Woman,Canada,Currently not employed
18-21,Man,Other,Other
60-69,Man,India,Program/Project Manager
25-29,Man,Bangladesh,Other
40-44,Man,Indonesia,Currently not employed
18-21,Woman,India,Student
35-39,Man,Colombia,Data Engineer
18-21,Man,Other,Data Engineer
70+,Man,United States of America,Other
40-44,Man,India,Program/Project Manager
30-34,Man,Poland,Data Scientist
60-69,Man,India,Other
25-29,Man,Egypt,Student
40-44,Man,France,Research Scientist
40-44,Woman,Other,Data Scientist
22-24,Man,Other,Software Engineer
30-34,Man,Sweden,Research Scientist
45-49,Man,Chile,Data Scientist
18-21,Man,Egypt,Machine Learning Engineer
25-29,Man,Netherlands,Currently not employed
35-39,Man,Ukraine,Currently not employed
25-29,Man,Other,Software Engineer
30-34,Woman,Indonesia,Data Engineer
18-21,Woman,Turkey,Student
18-21,Man,India,Student
25-29,Woman,India,Data Engineer
40-44,Man,Saudi Arabia,Machine Learning Engineer
18-21,Man,Russia,Student
25-29,Man,India,Data Scientist
30-34,Man,Colombia,Data Analyst
25-29,Man,Pakistan,Student
35-39,Man,South Africa,Data Engineer
18-21,Man,India,Student
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Data Engineer
22-24,Man,United States of America,Student
30-34,Woman,Russia,Student
25-29,Man,Other,Student
70+,Woman,United States of America,Data Analyst
22-24,Woman,India,Student
18-21,Man,Romania,Student
22-24,Man,India,Data Scientist
18-21,Woman,Egypt,Student
30-34,Man,South Africa,Product Manager
22-24,Woman,India,Student
