Response Time,Age,Gender,Country,Education,Job Title,Int Age
910,50-54,Man,India,Bachelor’s degree,Other,50
784,50-54,Man,Indonesia,Master’s degree,Program/Project Manager,50
924,22-24,Man,Pakistan,Master’s degree,Software Engineer,22
575,45-49,Man,Mexico,Doctoral degree,Research Scientist,45
781,45-49,Man,India,Doctoral degree,Other,45
1020,25-29,Woman,India,I prefer not to answer,Currently not employed,25
141,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student,18
484,30-34,Man,India,Bachelor’s degree,Data Scientist,30
1744,22-24,Man,Russia,Bachelor’s degree,Currently not employed,22
655,30-34,Man,Turkey,I prefer not to answer,Other,30
1777,40-44,Man,Australia,Doctoral degree,Other,40
3081,18-21,Woman,India,Master’s degree,Student,18
1922,18-21,Woman,India,Master’s degree,Student,18
852,45-49,Man,Nigeria,Master’s degree,Program/Project Manager,45
838,22-24,Man,Nigeria,Bachelor’s degree,Other,22
563,35-39,Man,Greece,Doctoral degree,Research Scientist,35
1315,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,50
479,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,18
249,22-24,Man,Japan,Master’s degree,Software Engineer,22
650,30-34,Man,Egypt,Bachelor’s degree,Other,30
1461,70+,Man,Singapore,Bachelor’s degree,Other,70
551,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,25
258,30-34,Man,Indonesia,Master’s degree,Student,30
773,35-39,Man,Brazil,Master’s degree,Machine Learning Engineer,35
630,18-21,Man,India,Bachelor’s degree,Student,18
2467,25-29,Woman,Poland,Master’s degree,Machine Learning Engineer,25
7750,45-49,Man,Brazil,Doctoral degree,Research Scientist,45
607,22-24,Man,China,Master’s degree,Student,22
525,22-24,Woman,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,22
501,18-21,Man,India,Bachelor’s degree,Student,18
415,22-24,Man,India,Bachelor’s degree,Other,22
317,30-34,Man,India,Master’s degree,Data Scientist,30
171,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,22
744,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,30
668,22-24,Man,India,Bachelor’s degree,Student,22
460,30-34,Woman,Brazil,Bachelor’s degree,Currently not employed,30
244,25-29,Woman,Egypt,Master’s degree,Currently not employed,25
901,30-34,Man,Brazil,Bachelor’s degree,Student,30
625,22-24,Man,Japan,No formal education past high school,Software Engineer,22
1239,18-21,Man,India,Bachelor’s degree,Student,18
229993,25-29,Man,Brazil,Master’s degree,Data Scientist,25
312,25-29,Man,Italy,Master’s degree,Other,25
976,55-59,Man,United States of America,Master’s degree,Software Engineer,55
1890,30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer,30
357,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,18
660,40-44,Man,Israel,Master’s degree,Data Scientist,40
1524,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,22
453,18-21,Woman,Egypt,Bachelor’s degree,Student,18
793,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,25
557,30-34,Woman,United States of America,Master’s degree,Data Scientist,30
5215,25-29,Man,Peru,Some college/university study without earning a bachelor’s degree,Currently not employed,25
483,40-44,Man,United States of America,Bachelor’s degree,Research Scientist,40
866,40-44,Man,South Africa,Master’s degree,Data Analyst,40
1045,40-44,Man,Other,Master’s degree,Business Analyst,40
359,30-34,Man,Spain,Master’s degree,Currently not employed,30
1006,22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer,22
95756,30-34,Woman,Indonesia,Master’s degree,Student,30
642,35-39,Woman,Russia,I prefer not to answer,Data Scientist,35
528,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,18
1093,35-39,Man,India,Bachelor’s degree,Program/Project Manager,35
565,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,18
405,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,18
872,30-34,Man,Japan,Master’s degree,Data Scientist,30
434,18-21,Man,India,Bachelor’s degree,Student,18
419,18-21,Man,India,Bachelor’s degree,Student,18
1479,40-44,Man,Russia,Doctoral degree,Data Engineer,40
665,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,30
1073,30-34,Man,Other,Master’s degree,Business Analyst,30
626,35-39,Man,India,Bachelor’s degree,Other,35
743,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,40
854,25-29,Man,India,Bachelor’s degree,Currently not employed,25
767,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Other,22
4971,30-34,Woman,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,30
560,45-49,Man,Turkey,Master’s degree,Program/Project Manager,45
2399,22-24,Man,Brazil,Master’s degree,Student,22
786,40-44,Man,France,Doctoral degree,Research Scientist,40
1293,50-54,Man,United States of America,Master’s degree,Data Engineer,50
395,22-24,Man,China,Master’s degree,Business Analyst,22
555,25-29,Man,Switzerland,Doctoral degree,Student,25
77678,22-24,Man,India,Bachelor’s degree,Currently not employed,22
1643,35-39,Man,United States of America,Professional doctorate,Research Scientist,35
3454,30-34,Man,Other,Master’s degree,Software Engineer,30
986,30-34,Man,India,Master’s degree,Business Analyst,30
1062,18-21,Man,India,Master’s degree,Student,18
161,25-29,Man,Algeria,Professional doctorate,Student,25
648,22-24,Man,Bangladesh,Bachelor’s degree,Student,22
432,25-29,Man,Tunisia,Master’s degree,Data Scientist,25
508,25-29,Man,United States of America,Master’s degree,Data Scientist,25
463,25-29,Woman,Italy,Bachelor’s degree,Student,25
642,55-59,Man,United States of America,Bachelor’s degree,Software Engineer,55
50748,25-29,Woman,Argentina,Master’s degree,Data Scientist,25
674,30-34,Man,United States of America,Master’s degree,Business Analyst,30
548,22-24,Man,Sweden,Master’s degree,Student,22
750,55-59,Man,United States of America,Bachelor’s degree,Other,55
532,18-21,Man,India,Bachelor’s degree,Data Scientist,18
1423,30-34,Man,Colombia,Bachelor’s degree,Student,30
661,25-29,Man,India,Master’s degree,Machine Learning Engineer,25
638,40-44,Man,Italy,Master’s degree,Software Engineer,40
585,22-24,Man,India,Bachelor’s degree,Currently not employed,22
370,22-24,Man,India,Master’s degree,Student,22
174,18-21,Woman,Singapore,Some college/university study without earning a bachelor’s degree,Student,18
294,25-29,Man,India,Master’s degree,Software Engineer,25
681,22-24,Man,India,Bachelor’s degree,Data Analyst,22
444,25-29,Man,I do not wish to disclose my location,Bachelor’s degree,Data Scientist,25
543,40-44,Woman,United States of America,Master’s degree,Other,40
824,35-39,Man,France,Doctoral degree,Software Engineer,35
3455,30-34,Man,India,Master’s degree,Data Analyst,30
728,55-59,Man,United States of America,Master’s degree,Data Scientist,55
3097,40-44,Man,Israel,Bachelor’s degree,Data Analyst,40
531,22-24,Man,India,Bachelor’s degree,Data Analyst,22
699,18-21,Man,Nigeria,Bachelor’s degree,Student,18
378,22-24,Woman,Sweden,Master’s degree,Student,22
2932,45-49,Man,Poland,Master’s degree,Other,45
584,30-34,Woman,Canada,I prefer not to answer,Currently not employed,30
205,18-21,Man,Other,Bachelor’s degree,Other,18
1050,60-69,Man,India,Doctoral degree,Program/Project Manager,60
61432,25-29,Man,Bangladesh,Bachelor’s degree,Other,25
445,40-44,Man,Indonesia,Master’s degree,Currently not employed,40
918,18-21,Woman,India,Bachelor’s degree,Student,18
798,35-39,Man,Colombia,Master’s degree,Data Engineer,35
131,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,18
735,70+,Man,United States of America,Master’s degree,Other,70
654,40-44,Man,India,Master’s degree,Program/Project Manager,40
2770,30-34,Man,Poland,Master’s degree,Data Scientist,30
1533,60-69,Man,India,Master’s degree,Other,60
2885,25-29,Man,Egypt,Bachelor’s degree,Student,25
1730,40-44,Man,France,Doctoral degree,Research Scientist,40
379,40-44,Woman,Other,Doctoral degree,Data Scientist,40
763,22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,22
694,30-34,Man,Sweden,Doctoral degree,Research Scientist,30
776,45-49,Man,Chile,Master’s degree,Data Scientist,45
