Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation,Int Age
910,50-54,Man,India,Bachelor’s degree,Other,5-10 years,$100-$999,"25,000-29,999",50
784,50-54,Man,Indonesia,Master’s degree,Program/Project Manager,20+ years,$0 ($USD),"60,000-69,999",50
924,22-24,Man,Pakistan,Master’s degree,Software Engineer,1-3 years,$0 ($USD),$0-999,22
575,45-49,Man,Mexico,Doctoral degree,Research Scientist,20+ years,$0 ($USD),"30,000-39,999",45
781,45-49,Man,India,Doctoral degree,Other,< 1 years,"$1000-$9,999","30,000-39,999",45
1020,25-29,Woman,India,I prefer not to answer,Currently not employed,< 1 years,,,25
141,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,18
484,30-34,Man,India,Bachelor’s degree,Data Scientist,5-10 years,$1-$99,"15,000-19,999",30
1744,22-24,Man,Russia,Bachelor’s degree,Currently not employed,3-5 years,,,22
655,30-34,Man,Turkey,I prefer not to answer,Other,1-3 years,$0 ($USD),$0-999,30
1777,40-44,Man,Australia,Doctoral degree,Other,1-3 years,$1-$99,"70,000-79,999",40
3081,18-21,Woman,India,Master’s degree,Student,< 1 years,,,18
1922,18-21,Woman,India,Master’s degree,Student,< 1 years,,,18
852,45-49,Man,Nigeria,Master’s degree,Program/Project Manager,5-10 years,$100-$999,"2,000-2,999",45
838,22-24,Man,Nigeria,Bachelor’s degree,Other,< 1 years,$0 ($USD),$0-999,22
563,35-39,Man,Greece,Doctoral degree,Research Scientist,10-20 years,$0 ($USD),"10,000-14,999",35
1315,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years,$0 ($USD),"2,000-2,999",50
479,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,18
249,22-24,Man,Japan,Master’s degree,Software Engineer,3-5 years,,,22
650,30-34,Man,Egypt,Bachelor’s degree,Other,< 1 years,$0 ($USD),"5,000-7,499",30
1461,70+,Man,Singapore,Bachelor’s degree,Other,< 1 years,$1-$99,"20,000-24,999",70
551,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,3-5 years,$100-$999,"1,000-1,999",25
258,30-34,Man,Indonesia,Master’s degree,Student,1-3 years,,,30
773,35-39,Man,Brazil,Master’s degree,Machine Learning Engineer,20+ years,$0 ($USD),"100,000-124,999",35
630,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
2467,25-29,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),"25,000-29,999",25
7750,45-49,Man,Brazil,Doctoral degree,Research Scientist,< 1 years,$0 ($USD),$0-999,45
607,22-24,Man,China,Master’s degree,Student,3-5 years,,,22
525,22-24,Woman,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,3-5 years,$0 ($USD),$0-999,22
501,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
415,22-24,Man,India,Bachelor’s degree,Other,1-3 years,$100-$999,"7,500-9,999",22
317,30-34,Man,India,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","100,000-124,999",30
171,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,,,22
744,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 years,$0 ($USD),"7,500-9,999",30
668,22-24,Man,India,Bachelor’s degree,Student,1-3 years,,,22
460,30-34,Woman,Brazil,Bachelor’s degree,Currently not employed,< 1 years,,,30
244,25-29,Woman,Egypt,Master’s degree,Currently not employed,< 1 years,,,25
901,30-34,Man,Brazil,Bachelor’s degree,Student,3-5 years,,,30
625,22-24,Man,Japan,No formal education past high school,Software Engineer,3-5 years,$0 ($USD),"2,000-2,999",22
1239,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
229993,25-29,Man,Brazil,Master’s degree,Data Scientist,5-10 years,,,25
312,25-29,Man,Italy,Master’s degree,Other,1-3 years,$1-$99,"30,000-39,999",25
976,55-59,Man,United States of America,Master’s degree,Software Engineer,10-20 years,"$1000-$9,999","15,000-19,999",55
1890,30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 years,"$1000-$9,999","4,000-4,999",30
357,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,18
660,40-44,Man,Israel,Master’s degree,Data Scientist,3-5 years,"$10,000-$99,999","100,000-124,999",40
1524,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,22
453,18-21,Woman,Egypt,Bachelor’s degree,Student,1-3 years,,,18
793,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,$1-$99,"1,000-1,999",25
557,30-34,Woman,United States of America,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","100,000-124,999",30
5215,25-29,Man,Peru,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,25
483,40-44,Man,United States of America,Bachelor’s degree,Research Scientist,< 1 years,$0 ($USD),"70,000-79,999",40
866,40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 years,$100-$999,"25,000-29,999",40
1045,40-44,Man,Other,Master’s degree,Business Analyst,1-3 years,$1-$99,"60,000-69,999",40
359,30-34,Man,Spain,Master’s degree,Currently not employed,1-3 years,,,30
1006,22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"7,500-9,999",22
95756,30-34,Woman,Indonesia,Master’s degree,Student,1-3 years,,,30
642,35-39,Woman,Russia,I prefer not to answer,Data Scientist,1-3 years,$0 ($USD),$0-999,35
528,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,$1-$99,$0-999,18
1093,35-39,Man,India,Bachelor’s degree,Program/Project Manager,1-3 years,$1-$99,"2,000-2,999",35
565,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,18
405,18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),$0-999,18
872,30-34,Man,Japan,Master’s degree,Data Scientist,1-3 years,$100-$999,"40,000-49,999",30
434,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
419,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
1479,40-44,Man,Russia,Doctoral degree,Data Engineer,1-3 years,"$1000-$9,999",$0-999,40
665,30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,< 1 years,$0 ($USD),$0-999,30
1073,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years,$100-$999,"7,500-9,999",30
626,35-39,Man,India,Bachelor’s degree,Other,< 1 years,"$1000-$9,999","2,000-2,999",35
743,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,20+ years,"$100,000 or more ($USD)","50,000-59,999",40
854,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,,25
767,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Other,3-5 years,$1-$99,"5,000-7,499",22
4971,30-34,Woman,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,5-10 years,$0 ($USD),"3,000-3,999",30
560,45-49,Man,Turkey,Master’s degree,Program/Project Manager,20+ years,$100-$999,"3,000-3,999",45
2399,22-24,Man,Brazil,Master’s degree,Student,5-10 years,,,22
786,40-44,Man,France,Doctoral degree,Research Scientist,3-5 years,$0 ($USD),"3,000-3,999",40
1293,50-54,Man,United States of America,Master’s degree,Data Engineer,20+ years,"$100,000 or more ($USD)","300,000-499,999",50
395,22-24,Man,China,Master’s degree,Business Analyst,< 1 years,"$10,000-$99,999","20,000-24,999",22
555,25-29,Man,Switzerland,Doctoral degree,Student,5-10 years,,,25
77678,22-24,Man,India,Bachelor’s degree,Currently not employed,1-3 years,,,22
1643,35-39,Man,United States of America,Professional doctorate,Research Scientist,10-20 years,"$10,000-$99,999","200,000-249,999",35
3454,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years,"$1000-$9,999","50,000-59,999",30
986,30-34,Man,India,Master’s degree,Business Analyst,1-3 years,$0 ($USD),"20,000-24,999",30
1062,18-21,Man,India,Master’s degree,Student,1-3 years,,,18
161,25-29,Man,Algeria,Professional doctorate,Student,I have never written code,,,25
648,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years,,,22
432,25-29,Man,Tunisia,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","20,000-24,999",25
508,25-29,Man,United States of America,Master’s degree,Data Scientist,1-3 years,$0 ($USD),"70,000-79,999",25
463,25-29,Woman,Italy,Bachelor’s degree,Student,1-3 years,,,25
642,55-59,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years,"$10,000-$99,999","125,000-149,999",55
50748,25-29,Woman,Argentina,Master’s degree,Data Scientist,< 1 years,$100-$999,"10,000-14,999",25
674,30-34,Man,United States of America,Master’s degree,Business Analyst,1-3 years,"$1000-$9,999","60,000-69,999",30
548,22-24,Man,Sweden,Master’s degree,Student,5-10 years,,,22
750,55-59,Man,United States of America,Bachelor’s degree,Other,1-3 years,$0 ($USD),"70,000-79,999",55
532,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,18
1423,30-34,Man,Colombia,Bachelor’s degree,Student,5-10 years,,,30
661,25-29,Man,India,Master’s degree,Machine Learning Engineer,1-3 years,$100-$999,"10,000-14,999",25
638,40-44,Man,Italy,Master’s degree,Software Engineer,20+ years,$100-$999,"40,000-49,999",40
585,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,,22
370,22-24,Man,India,Master’s degree,Student,< 1 years,,,22
174,18-21,Woman,Singapore,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,18
294,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,$0 ($USD),"7,500-9,999",25
681,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),"1,000-1,999",22
444,25-29,Man,I do not wish to disclose my location,Bachelor’s degree,Data Scientist,1-3 years,$100-$999,"4,000-4,999",25
543,40-44,Woman,United States of America,Master’s degree,Other,5-10 years,$100-$999,"25,000-29,999",40
824,35-39,Man,France,Doctoral degree,Software Engineer,10-20 years,$0 ($USD),"25,000-29,999",35
3455,30-34,Man,India,Master’s degree,Data Analyst,1-3 years,,,30
728,55-59,Man,United States of America,Master’s degree,Data Scientist,20+ years,"$1000-$9,999","100,000-124,999",55
3097,40-44,Man,Israel,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),"100,000-124,999",40
531,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),"1,000-1,999",22
699,18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years,,,18
378,22-24,Woman,Sweden,Master’s degree,Student,< 1 years,,,22
2932,45-49,Man,Poland,Master’s degree,Other,1-3 years,$0 ($USD),"50,000-59,999",45
584,30-34,Woman,Canada,I prefer not to answer,Currently not employed,< 1 years,,,30
205,18-21,Man,Other,Bachelor’s degree,Other,1-3 years,,,18
1050,60-69,Man,India,Doctoral degree,Program/Project Manager,5-10 years,"$10,000-$99,999","10,000-14,999",60
61432,25-29,Man,Bangladesh,Bachelor’s degree,Other,3-5 years,$0 ($USD),"10,000-14,999",25
445,40-44,Man,Indonesia,Master’s degree,Currently not employed,20+ years,,,40
918,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,,18
798,35-39,Man,Colombia,Master’s degree,Data Engineer,10-20 years,$100-$999,"30,000-39,999",35
131,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,3-5 years,,,18
735,70+,Man,United States of America,Master’s degree,Other,3-5 years,$1-$99,"250,000-299,999",70
654,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years,"$10,000-$99,999","60,000-69,999",40
2770,30-34,Man,Poland,Master’s degree,Data Scientist,20+ years,$100-$999,"30,000-39,999",30
1533,60-69,Man,India,Master’s degree,Other,1-3 years,$1-$99,$0-999,60
2885,25-29,Man,Egypt,Bachelor’s degree,Student,1-3 years,,,25
1730,40-44,Man,France,Doctoral degree,Research Scientist,5-10 years,$0 ($USD),"40,000-49,999",40
379,40-44,Woman,Other,Doctoral degree,Data Scientist,5-10 years,"$1000-$9,999","100,000-124,999",40
763,22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years,$0 ($USD),$0-999,22
694,30-34,Man,Sweden,Doctoral degree,Research Scientist,5-10 years,$1-$99,"50,000-59,999",30
776,45-49,Man,Chile,Master’s degree,Data Scientist,3-5 years,"$100,000 or more ($USD)","40,000-49,999",45
737,18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 years,$1-$99,"4,000-4,999",18
514,25-29,Man,Netherlands,Master’s degree,Currently not employed,5-10 years,,,25
647,35-39,Man,Ukraine,Doctoral degree,Currently not employed,< 1 years,,,35
386,25-29,Man,Other,Master’s degree,Software Engineer,10-20 years,"$1000-$9,999","40,000-49,999",25
