Response Time,Age,Gender,Country,Education,Job Title
910,50-54,Man,India,Bachelor’s degree,Other
784,50-54,Man,Indonesia,Master’s degree,Program/Project Manager
924,22-24,Man,Pakistan,Master’s degree,Software Engineer
575,45-49,Man,Mexico,Doctoral degree,Research Scientist
781,45-49,Man,India,Doctoral degree,Other
1020,25-29,Woman,India,I prefer not to answer,Currently not employed
141,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student
484,30-34,Man,India,Bachelor’s degree,Data Scientist
1744,22-24,Man,Russia,Bachelor’s degree,Currently not employed
655,30-34,Man,Turkey,I prefer not to answer,Other
1777,40-44,Man,Australia,Doctoral degree,Other
3081,18-21,Woman,India,Master’s degree,Student
1922,18-21,Woman,India,Master’s degree,Student
852,45-49,Man,Nigeria,Master’s degree,Program/Project Manager
838,22-24,Man,Nigeria,Bachelor’s degree,Other
563,35-39,Man,Greece,Doctoral degree,Research Scientist
1315,50-54,Man,Belgium,Bachelor’s degree,Data Analyst
479,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist
249,22-24,Man,Japan,Master’s degree,Software Engineer
650,30-34,Man,Egypt,Bachelor’s degree,Other
1461,70+,Man,Singapore,Bachelor’s degree,Other
551,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist
258,30-34,Man,Indonesia,Master’s degree,Student
773,35-39,Man,Brazil,Master’s degree,Machine Learning Engineer
630,18-21,Man,India,Bachelor’s degree,Student
2467,25-29,Woman,Poland,Master’s degree,Machine Learning Engineer
7750,45-49,Man,Brazil,Doctoral degree,Research Scientist
607,22-24,Man,China,Master’s degree,Student
525,22-24,Woman,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist
501,18-21,Man,India,Bachelor’s degree,Student
415,22-24,Man,India,Bachelor’s degree,Other
317,30-34,Man,India,Master’s degree,Data Scientist
171,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst
744,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst
668,22-24,Man,India,Bachelor’s degree,Student
460,30-34,Woman,Brazil,Bachelor’s degree,Currently not employed
244,25-29,Woman,Egypt,Master’s degree,Currently not employed
901,30-34,Man,Brazil,Bachelor’s degree,Student
625,22-24,Man,Japan,No formal education past high school,Software Engineer
1239,18-21,Man,India,Bachelor’s degree,Student
