Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation
910,50-54,Man,India,Bachelor’s degree,Other,5-10 years,$100-$999,"25,000-29,999"
784,50-54,Man,Indonesia,Master’s degree,Program/Project Manager,20+ years,$0 ($USD),"60,000-69,999"
924,22-24,Man,Pakistan,Master’s degree,Software Engineer,1-3 years,$0 ($USD),$0-999
575,45-49,Man,Mexico,Doctoral degree,Research Scientist,20+ years,$0 ($USD),"30,000-39,999"
781,45-49,Man,India,Doctoral degree,Other,< 1 years,"$1000-$9,999","30,000-39,999"
1020,25-29,Woman,India,I prefer not to answer,Currently not employed,< 1 years,,
141,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,
484,30-34,Man,India,Bachelor’s degree,Data Scientist,5-10 years,$1-$99,"15,000-19,999"
1744,22-24,Man,Russia,Bachelor’s degree,Currently not employed,3-5 years,,
655,30-34,Man,Turkey,I prefer not to answer,Other,1-3 years,$0 ($USD),$0-999
1777,40-44,Man,Australia,Doctoral degree,Other,1-3 years,$1-$99,"70,000-79,999"
3081,18-21,Woman,India,Master’s degree,Student,< 1 years,,
1922,18-21,Woman,India,Master’s degree,Student,< 1 years,,
852,45-49,Man,Nigeria,Master’s degree,Program/Project Manager,5-10 years,$100-$999,"2,000-2,999"
838,22-24,Man,Nigeria,Bachelor’s degree,Other,< 1 years,$0 ($USD),$0-999
563,35-39,Man,Greece,Doctoral degree,Research Scientist,10-20 years,$0 ($USD),"10,000-14,999"
1315,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years,$0 ($USD),"2,000-2,999"
479,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999
249,22-24,Man,Japan,Master’s degree,Software Engineer,3-5 years,,
650,30-34,Man,Egypt,Bachelor’s degree,Other,< 1 years,$0 ($USD),"5,000-7,499"
1461,70+,Man,Singapore,Bachelor’s degree,Other,< 1 years,$1-$99,"20,000-24,999"
551,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,3-5 years,$100-$999,"1,000-1,999"
258,30-34,Man,Indonesia,Master’s degree,Student,1-3 years,,
773,35-39,Man,Brazil,Master’s degree,Machine Learning Engineer,20+ years,$0 ($USD),"100,000-124,999"
630,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
2467,25-29,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),"25,000-29,999"
7750,45-49,Man,Brazil,Doctoral degree,Research Scientist,< 1 years,$0 ($USD),$0-999
607,22-24,Man,China,Master’s degree,Student,3-5 years,,
525,22-24,Woman,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,3-5 years,$0 ($USD),$0-999
501,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
415,22-24,Man,India,Bachelor’s degree,Other,1-3 years,$100-$999,"7,500-9,999"
317,30-34,Man,India,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","100,000-124,999"
171,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,,
744,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 years,$0 ($USD),"7,500-9,999"
668,22-24,Man,India,Bachelor’s degree,Student,1-3 years,,
460,30-34,Woman,Brazil,Bachelor’s degree,Currently not employed,< 1 years,,
244,25-29,Woman,Egypt,Master’s degree,Currently not employed,< 1 years,,
901,30-34,Man,Brazil,Bachelor’s degree,Student,3-5 years,,
