,Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation,Salary,Avg. Investment
0,910,50-54,Man,India,Bachelor’s degree,Other,5-10 years,$100-$999,"25,000-29,999",27000.0,500
1,784,50-54,Man,Indonesia,Master’s degree,Program/Project Manager,20+ years,$0 ($USD),"60,000-69,999",65000.0,0
2,924,22-24,Man,Pakistan,Master’s degree,Software Engineer,1-3 years,$0 ($USD),$0-999,500.0,0
3,575,45-49,Man,Mexico,Doctoral degree,Research Scientist,20+ years,$0 ($USD),"30,000-39,999",35000.0,0
4,781,45-49,Man,India,Doctoral degree,Other,< 1 years,"$1000-$9,999","30,000-39,999",35000.0,5000
5,1020,25-29,Woman,India,I prefer not to answer,Currently not employed,< 1 years,0,0,0.0,0
6,141,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,0,0,0.0,0
7,484,30-34,Man,India,Bachelor’s degree,Data Scientist,5-10 years,$1-$99,"15,000-19,999",17000.0,50
8,1744,22-24,Man,Russia,Bachelor’s degree,Currently not employed,3-5 years,0,0,0.0,0
9,655,30-34,Man,Turkey,I prefer not to answer,Other,1-3 years,$0 ($USD),$0-999,500.0,0
10,1777,40-44,Man,Australia,Doctoral degree,Other,1-3 years,$1-$99,"70,000-79,999",75000.0,50
11,3081,18-21,Woman,India,Master’s degree,Student,< 1 years,0,0,0.0,0
12,1922,18-21,Woman,India,Master’s degree,Student,< 1 years,0,0,0.0,0
13,852,45-49,Man,Nigeria,Master’s degree,Program/Project Manager,5-10 years,$100-$999,"2,000-2,999",25000.0,500
14,838,22-24,Man,Nigeria,Bachelor’s degree,Other,< 1 years,$0 ($USD),$0-999,500.0,0
15,563,35-39,Man,Greece,Doctoral degree,Research Scientist,10-20 years,$0 ($USD),"10,000-14,999",12000.0,0
16,1315,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years,$0 ($USD),"2,000-2,999",25000.0,0
17,479,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,500.0,0
18,249,22-24,Man,Japan,Master’s degree,Software Engineer,3-5 years,0,0,0.0,0
19,650,30-34,Man,Egypt,Bachelor’s degree,Other,< 1 years,$0 ($USD),"5,000-7,499",65000.0,0
20,1461,70+,Man,Singapore,Bachelor’s degree,Other,< 1 years,$1-$99,"20,000-24,999",23000.0,50
21,551,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,3-5 years,$100-$999,"1,000-1,999",1500.0,500
22,258,30-34,Man,Indonesia,Master’s degree,Student,1-3 years,0,0,0.0,0
23,773,35-39,Man,Brazil,Master’s degree,Machine Learning Engineer,20+ years,$0 ($USD),"100,000-124,999",120000.0,0
24,630,18-21,Man,India,Bachelor’s degree,Student,1-3 years,0,0,0.0,0
25,2467,25-29,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),"25,000-29,999",27000.0,0
26,7750,45-49,Man,Brazil,Doctoral degree,Research Scientist,< 1 years,$0 ($USD),$0-999,500.0,0
27,607,22-24,Man,China,Master’s degree,Student,3-5 years,0,0,0.0,0
