Country,Responses
India,1289
United States of America,483
Other,241
Brazil,93
United Kingdom of Great Britain and Northern Ireland,91
Turkey,87
Nigeria,81
Russia,80
Indonesia,79
Canada,71
China,69
Germany,66
"Iran, Islamic Republic of...",59
Taiwan,58
France,54
Malaysia,51
Pakistan,48
Spain,44
Egypt,43
Japan,42
South Korea,39
Australia,38
Singapore,37
Tunisia,37
Mexico,33
Thailand,32
Portugal,31
Italy,29
Philippines,29
Morocco,28
South Africa,28
Kenya,26
Poland,25
Bangladesh,24
Ukraine,23
Sri Lanka,22
Netherlands,22
Viet Nam,21
Colombia,21
Saudi Arabia,20
Argentina,20
Ireland,17
Israel,16
Peru,15
Sweden,14
Romania,13
Switzerland,12
Greece,12
United Arab Emirates,12
Belarus,12
Nepal,10
Belgium,10
Chile,8
Ghana,7
Republic of Korea,6
