Country,Responses
Algeria,12
Argentina,24
Australia,38
Austria,8
Bangladesh,43
Belarus,6
Belgium,8
Brazil,81
Canada,64
Chile,9
China,106
Colombia,25
Czech Republic,11
Denmark,6
Ecuador,8
Egypt,127
Ethiopia,2
France,67
Germany,81
Ghana,8
Greece,16
Hong Kong (S.A.R.),14
I do not wish to disclose my location,8
India,1656
Indonesia,96
"Iran, Islamic Republic of...",52
Iraq,8
Ireland,8
Israel,24
Italy,30
Japan,68
Kazakhstan,7
Kenya,53
Malaysia,43
Mexico,33
Morocco,27
Nepal,7
Netherlands,25
Nigeria,107
Norway,10
Other,227
Pakistan,81
Peru,5
Philippines,26
Poland,30
Portugal,29
Romania,16
Russia,104
Saudi Arabia,27
Singapore,38
South Africa,28
South Korea,72
Spain,57
Sri Lanka,36
Sweden,11
Switzerland,13
Taiwan,81
Thailand,24
Tunisia,42
Turkey,79
Uganda,9
Ukraine,30
United Arab Emirates,28
United Kingdom of Great Britain and Northern Ireland,113
United States of America,606
Viet Nam,52
